SKU,Thickness,Dimension,Width in Inches,Length in Inches,Width in mm,Length in mm,Weight (kg),is_round
MRC-MR-0226,1mm,41.2 x 59.75 Inch,41.2,59.75,1046,1518,2.704,
MRC-MR-0227,1mm,41.2 x 60.75 Inch,41.2,60.75,1046,1543,2.738,
MRC-MR-0228,1mm,41.2 x 65.8 Inch,41.2,65.8,1046,1671,2.91,
MRC-MR-0229,1mm,42 Inch Round Dia,42.0,42.0,1067,1067,,yes
MRC-MR-0230,1mm,42.2 x 45.7 Inch,42.2,45.7,1072,1161,2.61,
MRC-MR-0231,1mm,42.2 x 46.7 Inch,42.2,46.7,1072,1186,2.645,
MRC-MR-0232,1mm,42.2 x 47.7 Inch,42.2,47.7,1072,1212,2.681,
MRC-MR-0233,1mm,42.2 x 48.7 Inch,42.2,48.7,1072,1237,2.716,
MRC-MR-0234,1mm,42.2 x 49.7 Inch,42.2,49.7,1072,1262,2.751,
MRC-MR-0235,1mm,42.2 x 50.7 Inch,42.2,50.7,1072,1288,2.786,
MRC-MR-0236,1mm,42.2 x 51.75 Inch,42.2,51.75,1072,1314,2.822,
MRC-MR-0237,1mm,42.2 x 52.75 Inch,42.2,52.75,1072,1340,2.507,
MRC-MR-0238,1mm,42.2 x 53.75 Inch,42.2,53.75,1072,1365,2.542,
MRC-MR-0239,1mm,42.2 x 54.75 Inch,42.2,54.75,1072,1391,2.577,
MRC-MR-0240,1mm,42.2x 55.75 Inch,42.2,55.75,1072,1416,2.612,
MRC-MR-0241,1mm,42.2 x 56.75 Inch,42.2,56.75,1072,1441,2.648,
MRC-MR-0242,1mm,42.2 x 57.75 Inch,42.2,57.75,1072,1467,2.683,
MRC-MR-0243,1mm,42.2 x 58.75 Inch,42.2,58.75,1072,1492,2.718,
MRC-MR-0244,1mm,42.2 x 59.75 Inch,42.2,59.75,1072,1518,2.753,
MRC-MR-0245,1mm,42.2 x 60.75 Inch,42.2,60.75,1072,1543,2.789,
MRC-MR-0246,1mm,42.2 x 73 Inch,42.2,73.0,1072,1854,3.561,
MRC-MR-0247,1mm,45.5 x 45.5 Inch,45.5,45.5,1156,1156,2.723,
MRC-MR-0248,1mm,45.2 x 65.8 Inch,45.2,65.8,1148,1671,3.128,
MRC-MR-0249,1mm,46.2 x 57.75 Inch,46.2,57.75,1173,1467,2.874,
MRC-MR-0250,1mm,46.2 x 64.75 Inch,46.2,64.75,1173,1645,3.144,
MRC-MR-0251,1mm,46.2 x 68.8 Inch,46.2,68.8,1173,1748,3.648,
MRC-MR-0252,1mm,47 Inch Round Dia,47.0,47.0,1194,1194,,yes
MRC-MR-0253,1mm,48 Inch Round Dia,48.0,48.0,1219,1219,,yes
MRC-MR-0254,1mm,48.2 x 85.2 Inch,48.2,85.2,1224,2164,4.057,
MRC-MR-0255,1mm,48.2 x 97.2 Inch,48.2,97.2,1224,2469,4.54,
MRC-MR-0256,1mm,50.2 x 58.75 Inch,50.2,58.75,1275,1492,3.107,
MRC-MR-0257,1mm,58.2 x 108 Inch,58.2,108.0,1478,2743,5.831,
MRC-MR-0258,1mm,41.7 x 78.5 Inch,41.7,78.5,1059,1994,3.722,
MRC-MR-0259,1.5mm,12.2 x 24.5 Inch,12.2,24.5,310,622,1.037,
MRC-MR-0260,1.5mm,17.2 x 29.5 Inch,17.2,29.5,437,749,1.645,
MRC-MR-0261,1.5mm,17.2 x  32.5 Inch,17.2,32.5,437,826,1.709,
MRC-MR-0262,1.5mm,18.5 x 18.5 Inch,18.5,18.5,470,470,1.083,
MRC-MR-0263,1.5mm,18.2 x 35.5 Inch,18.2,35.5,462,902,1.818,
MRC-MR-0264,1.5mm,18.2 x 36.5 Inch,18.2,36.5,462,927,1.84,
MRC-MR-0265,1.5mm,18.2 x 37.5 Inch,18.2,37.5,462,952,1.513,
MRC-MR-0266,1.5mm,18.2 x 42.7 Inch,18.2,42.7,462,1085,1.626,
MRC-MR-0267,1.5mm,19.2 x 66.8 Inch,19.2,66.8,488,1697,2.603,
MRC-MR-0268,1.5mm,21.2 x 34.5 Inch,21.2,34.5,538,876,3.573,
MRC-MR-0269,1.5mm,23 Inch Round Dia,23.0,23.0,584,584,,yes
MRC-MR-0270,1.5mm,23.4 x 35.6 Inch,23.4,35.6,594,904,,
MRC-MR-0271,1.5mm,24 Inch Round Dia,24.0,24.0,610,610,,yes
MRC-MR-0272,1.5mm,24.2 x 36.7 Inch,24.2,36.7,615,932,1.762,
MRC-MR-0273,1.5mm,24.2 x 48.7 Inch,24.2,48.7,615,1237,3.124,
MRC-MR-0274,1.5mm,27.4 x 52.2 Inch,27.4,52.2,696,1326,2.807,
MRC-MR-0275,1.5mm,27.5 x 48.5 Inch,27.5,48.5,698,1232,2.664,
MRC-MR-0276,1.5mm,28.5 x 28.5 Inch,28.5,28.5,724,724,1.661,
MRC-MR-0277,1.5mm,28.2 x 44.7 Inch,28.2,44.7,716,1135,2.575,
MRC-MR-0278,1.5mm,28.2 x 60.75 Inch,28.2,60.75,716,1543,2.789,
MRC-MR-0279,1.5mm,30.5 x 30.5 Inch,30.5,30.5,775,775,1.807,
MRC-MR-0280,1.5mm,30.2 x 36.7 Inch,30.2,36.7,767,932,2.034,
MRC-MR-0281,1.5mm,30.2 x 45.7 Inch,30.2,45.7,767,1161,2.723,
MRC-MR-0282,1.5mm,30.2 x 46.7 Inch,30.2,46.7,767,1186,2.761,
MRC-MR-0283,1.5mm,30.2 x 47.7 Inch,30.2,47.7,767,1212,2.799,
MRC-MR-0284,1.5mm,30.2 x 48.7 Inch,30.2,48.7,767,1237,2.837,
MRC-MR-0285,1.5mm,30.2 x 49.7 Inch,30.2,49.7,767,1262,2.524,
MRC-MR-0286,1.5mm,30.2 x 50.7 Inch,30.2,50.7,767,1288,2.562,
MRC-MR-0287,1.5mm,30.2 x 51.75 Inch,30.2,51.75,767,1314,2.6,
MRC-MR-0288,1.5mm,30.2 x 52.75 Inch,30.2,52.75,767,1340,2.638,
MRC-MR-0289,1.5mm,30.2 x 53.75 Inch,30.2,53.75,767,1365,2.675,
MRC-MR-0290,1.5mm,30.2 x 54.75 Inch,30.2,54.75,767,1391,2.713,
MRC-MR-0291,1.5mm,30.2 x 55.75 Inch,30.2,55.75,767,1416,2.751,
MRC-MR-0292,1.5mm,30.2 x 56.75 Inch,30.2,56.75,767,1441,2.789,
MRC-MR-0293,1.5mm,30.2 x 57.75 Inch,30.2,57.75,767,1467,2.826,
MRC-MR-0294,1.5mm,30.2 x 58.75 Inch,30.2,58.75,767,1492,2.864,
MRC-MR-0295,1.5m,30.2 x 59.75 Inch,30.2,59.75,767,1518,,
MRC-MR-0296,1.5mm,30.2 x 60.75 Inch,30.2,60.75,767,1543,2.94,
MRC-MR-0297,1.5mm,31 Inch Round Dia,31.0,31.0,787,787,,yes
MRC-MR-0298,1.5mm,31.2 x 45.7 Inch,31.2,45.7,792,1161,2.78,
MRC-MR-0299,1.5mm,31.2 x 46.7 Inch,31.2,46.7,792,1186,2.819,
